,alpha,mmse,q
151,0.05330227450980391,0.5218007376522127,0.6781992623477873
152,0.05365513725490195,0.5175391732429236,0.6824608267570763
153,0.054007999999999994,0.5132641240983373,0.6867358759016626
154,0.05436086274509803,0.5089952220688759,0.691004777931124
155,0.05471372549019607,0.5047232271753268,0.6952767728246732
156,0.05506658823529411,0.5004377190144585,0.6995622809855414
157,0.055419450980392145,0.4961590428721452,0.7038409571278548
158,0.055772313725490186,0.4918674289291006,0.7081325710708993
159,0.05612517647058823,0.487582455291121,0.712417544708879
160,0.05647803921568626,0.4832948850371921,0.7167051149628079
161,0.0568309019607843,0.4789941583903412,0.7210058416096587
162,0.057183764705882344,0.4747008564080677,0.7252991435919323
163,0.057536627450980385,0.4703948549924084,0.7296051450075915
164,0.05788949019607842,0.4660962059118884,0.7339037940881116
165,0.05824235294117646,0.4617852345503095,0.7382147654496904
166,0.0585952156862745,0.4574772543251564,0.7425227456748436
167,0.058948078431372536,0.4531749938947136,0.7468250061052863
168,0.05930094117647058,0.4488570566320732,0.7511429433679268
169,0.05965380392156862,0.4445468750707635,0.7554531249292364
170,0.06000666666666666,0.4402238140608451,0.7597761859391549
171,0.060359529411764694,0.4359089159414551,0.7640910840585449
172,0.060712392156862735,0.4315812280474265,0.7684187719525735
173,0.061065254901960776,0.4272617649402707,0.7727382350597293
174,0.06141811764705881,0.4229298113450517,0.7770701886549483
175,0.06177098039215685,0.41859602152526176,0.7814039784747382
176,0.06212384313725489,0.4142698454433984,0.7857301545566016
177,0.06247670588235293,0.4099318698827962,0.7900681301172038
178,0.06282956862745098,0.40560150108259463,0.7943984989174053
179,0.06318243137254902,0.4012591892799484,0.7987408107200515
180,0.06353529411764705,0.39692452888643626,0.8030754711135637
181,0.0638881568627451,0.39257745222279516,0.8074225477772048
182,0.06424101960784313,0.38823823976759386,0.8117617602324061
183,0.06459388235294117,0.38388626745134236,0.8161137325486576
184,0.06494674509803922,0.3795321107203866,0.8204678892796133
185,0.06529960784313725,0.37518549136708135,0.8248145086329186
186,0.06565247058823528,0.37082629360165353,0.8291737063983464
187,0.06600533333333333,0.36646472885771786,0.8335352711422821
188,0.06635819607843137,0.3621102593743508,0.8378897406256491
189,0.0667110588235294,0.3577427730043681,0.8422572269956319
190,0.06706392156862745,0.3533722465047928,0.8466277534952071
191,0.06741678431372548,0.349008420643766,0.8509915793562339
192,0.06776964705882353,0.34463103133561923,0.8553689686643807
193,0.06812250980392157,0.34025314805455253,0.8597468519454474
194,0.0684753725490196,0.3358644512352993,0.8641355487647007
195,0.06882823529411765,0.33148668185973795,0.868513318140262
196,0.06918109803921568,0.3270943819264829,0.8729056180735171
197,0.06953396078431372,0.32269807204645384,0.8773019279535461
198,0.06988682352941177,0.318296177271415,0.8817038227285849
199,0.0702396862745098,0.31388923534271407,0.8861107646572859
200,0.07059254901960783,0.30947695344579773,0.8905230465542022
201,0.07094541176470588,0.30505894259147315,0.8949410574085268
202,0.07129827450980392,0.30063479597492027,0.8993652040250797
203,0.07165113725490195,0.2962040196959501,0.9037959803040498
204,0.072004,0.2917661656919758,0.9082338343080242
205,0.07235686274509803,0.2873207499988152,0.9126792500011848
206,0.07270972549019607,0.2828672441869302,0.9171327558130697
207,0.07306258823529412,0.27840506848711044,0.9215949315128895
208,0.07341545098039215,0.2739335543934448,0.9260664456065552
209,0.07376831372549018,0.2694518530957031,0.9305481469042969
210,0.07412117647058823,0.2649589913982191,0.9350410086017809
211,0.07447403921568627,0.2604452534597399,0.93955474654026
212,0.07482690196078431,0.25592895299747564,0.9440710470025243
213,0.07517976470588235,0.2513988817996142,0.9486011182003857
214,0.07553262745098038,0.24684382431849472,0.9531561756815052
215,0.07588549019607843,0.24204284547958954,0.9579571545204104
216,0.07623835294117647,0.23767444241189417,0.9623255575881058
217,0.0765912156862745,0.23308923051854813,0.9669107694814518
218,0.07694407843137255,0.22846948607844042,0.9715305139215595
219,0.07729694117647058,0.223825731388823,0.976174268611177
220,0.07764980392156862,0.21915427824853695,0.980845721751463
221,0.07800266666666666,0.21445619922649506,0.9855438007735049
222,0.0783555294117647,0.20969453868381582,0.9903054613161841
223,0.07870839215686273,0.20496791309667806,0.9950320869033219
224,0.07906125490196078,0.20017234561393626,0.9998276543860637
225,0.07941411764705882,0.19533521857453318,1.0046647814254668
226,0.07976698039215685,0.19046500154758905,1.009534998452411
227,0.0801198431372549,0.1855415301482748,1.0144584698517252
228,0.08047270588235293,0.18056416112703455,1.0194358388729654
229,0.08082556862745098,0.1755281886480009,1.024471811351999
230,0.08117843137254901,0.17043330392655798,1.029566696073442
231,0.08153129411764705,0.16526193963098934,1.0347380603690106
